descriptor,folder,N,T,temperature_regime,fro_regime,graph_family,field_complexity,interaction_complexity,gamma_fro_norm,parameter_block,name,true,estimate,abs_error,squared_error,parameter_rmse,field_rmse,interaction_fro_error
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::linear::feature_3,0.14,0.21971733697306586,0.07971733697306585,0.006354853814077331,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::quadratic::feature_3,-0.125,-0.009285981788324736,0.11571401821167526,0.013389734010691915,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::linear::feature_4,-0.04,-0.06972716712528837,0.02972716712528837,0.0008837044652948256,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::quadratic::feature_4,0.125,0.1077807671329476,0.017219232867052403,0.0002965019805297777,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::linear::feature_5,-0.18,-0.21384881872111758,0.033848818721117585,0.0011457425288150802,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,field,field::quadratic::feature_5,0.185,0.19558043732639693,0.010580437326396935,0.00011194565401781353,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,beta,beta,0.12,0.0928574085758054,0.02714259142419459,0.0007367202692207617,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,interaction,interaction::adjacency,0.125,-0.988881823899545,1.1138818238995452,1.2407327176137772,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,interaction,interaction::distance_kernel::feature_1,0.04,-0.01645694745125814,0.05645694745125814,0.0031873869155141232,0.48988275542362597,0.11163989596378678,1.5290991446689866
N100_T10_high_temp_fro_small_shared_feature_field_shared_feature_interactions,C:\Users\phevo\Documents\MIT\Code\MPLE-Causal-Inference\experiments\n100_t10_high_temp_fro_small_shared_feature_field_shared_feature_interactions_20260331_225805,100,10,high_temp,fro_small,complete,shared_feature_field,shared_feature_interactions,1.0050378152592128,interaction,interaction::cross_similarity::feature_1,0.02,0.7024548141866697,0.6824548141866696,0.4657445734065618,0.48988275542362597,0.11163989596378678,1.5290991446689866
